index,gate,up,gpu,ref,flagged
61786,-0x1.38b28p-128,-0x1.11a5fep-2,0x0p+0,0x1.4e41p-131,0
61802,0x1.327bcp-130,-0x1.872a2p-1,-0x0p+0,-0x1.d44d8p-132,0
61807,0x1.370db6p-115,0x1.04e706p-3,0x1.3d02a4p-119,0x1.3d02a2p-119,1
61808,0x1.c5878p-131,0x1.1f4ed6p-3,0x0p+0,0x1.fdp-135,0
61815,-0x1.b42a7ep-110,0x1.6f277p-2,-0x1.38c60cp-112,-0x1.38c60ep-112,1
61841,0x1.c46dep-130,0x1.0857f6p-1,0x0p+0,0x1.d32dp-132,0
61843,0x1.105e5ap-104,-0x1.01ed8cp-4,-0x1.126b76p-109,-0x1.126b74p-109,1
61874,0x1.29d456p-113,-0x1.3ea54cp-1,-0x1.72b614p-115,-0x1.72b612p-115,1
61875,0x1.723aa6p-108,-0x1.631656p-3,-0x1.00c3d2p-111,-0x1.00c3dp-111,1
61886,-0x1.a94b4p-130,-0x1.d917f4p+0,0x0p+0,0x1.88f9ep-130,0
61913,-0x1.18927ep-116,-0x1.b2c364p-8,0x1.dc7e7cp-125,0x1.dc7e7ep-125,1
61919,0x1.a49ep-131,0x1.7a80a2p-3,0x0p+0,0x1.36f2p-134,0
61922,0x1.7b914cp-127,-0x1.09786p-2,-0x0p+0,-0x1.899bep-130,0
61925,-0x1.19ea9ep-104,-0x1.32bfcep-3,0x1.51cda8p-108,0x1.51cdaap-108,1
61927,-0x1.54b81ap-111,0x1.9f0fd4p+0,-0x1.1435cp-111,-0x1.1435c2p-111,1
61955,-0x1.05138p-132,0x1.833404p-1,-0x0p+0,-0x1.8ae2p-134,0
61963,0x1.c6fe02p-108,0x1.11422ap+0,0x1.e5aa7ap-109,0x1.e5aa78p-109,1
61977,-0x1.8ef9fp-129,-0x1.325922p+0,0x0p+0,0x1.dd71cp-130,0
62002,-0x1.59bfa2p-113,0x1.336aeep-2,-0x1.9f3138p-116,-0x1.9f313ap-116,1
62018,-0x1.e2ab38p-127,0x1.4d5bc4p-2,-0x0p+0,-0x1.3a42ep-129,0
62043,0x1.753bcp-131,0x1.079c4ep-1,0x0p+0,0x1.8055p-133,0
62049,0x1.9cc0ep-126,-0x1.483796p-1,-0x0p+0,-0x1.08986p-127,1
62062,0x1.3ecfp-133,-0x1.28734p-1,-0x0p+0,-0x1.713p-135,0
62074,-0x1.dd4d92p-107,-0x1.54746ap+1,0x1.3d6208p-106,0x1.3d620ap-106,1
62106,0x1.729002p-120,-0x1.536d2ep+0,-0x1.eb52cp-121,-0x1.eb52bcp-121,1
62108,0x1.e3a75p-128,-0x1.7fd0bp+0,-0x0p+0,-0x1.6a90c8p-128,0
62134,-0x1.86328p-130,0x1.d41f76p-1,-0x0p+0,-0x1.64c24p-131,0
62137,-0x1.60c266p-117,-0x1.0cac8cp+0,0x1.723944p-118,0x1.723946p-118,1
62155,0x1.39ff02p-105,0x1.1c8bep-2,0x1.5d0278p-108,0x1.5d0276p-108,1
62172,-0x1.61ad3ap-110,-0x1.2879e4p-1,0x1.9998aep-112,0x1.9998bp-112,1
62179,-0x1.81f99ap-115,0x1.150594p-1,-0x1.a1ab7ap-117,-0x1.a1ab7cp-117,1
62186,0x1.668p-133,-0x1.b9d1d2p-3,-0x0p+0,-0x1.356p-136,0
62205,-0x1.412f46p-115,0x1.2113f8p-1,-0x1.6aaf6ap-117,-0x1.6aaf6cp-117,1
62226,0x1.82a81p-123,0x1.0b614ap-4,0x0p+0,0x1.93d838p-128,1
62236,-0x1.11f942p-118,0x1.fb918cp+0,-0x1.0f9a32p-118,-0x1.0f9a34p-118,1
62275,-0x1.5b6fe6p-111,0x1.f35756p-5,-0x1.52d8dp-116,-0x1.52d8d2p-116,1
62292,0x1.8c286p-129,0x1.677a3cp-1,0x0p+0,0x1.1624ep-130,0
62294,0x1.213b42p-117,0x1.278a7ep+0,0x1.4de7c4p-118,0x1.4de7c2p-118,1
62299,0x1.e864ep-129,-0x1.470058p-1,-0x0p+0,-0x1.37eccp-130,0
62321,-0x1.54341ap-120,-0x1.534dd6p+0,0x1.c2e86cp-121,0x1.c2e86ep-121,1
62322,-0x1.92f88p-131,-0x1.3db466p-2,0x0p+0,0x1.f41ap-134,0
62345,-0x1.e6408p-129,0x1.c6276cp-2,-0x0p+0,-0x1.af50cp-131,0
62347,-0x1.5d5dfp-127,0x1.07abeep-10,-0x0p+0,-0x1.67ep-138,0
62366,-0x1.83efp-133,0x1.0c9da6p-2,-0x0p+0,-0x1.971p-136,0
62368,-0x1.4790cp-129,-0x1.5cd8f2p-1,0x0p+0,0x1.be5e4p-131,0
62408,-0x1.860ap-132,-0x1.a74d98p-3,0x0p+0,0x1.4278p-135,0
62421,-0x1.901a4ap-118,-0x1.40d8c8p-2,0x1.f573a8p-121,0x1.f573acp-121,1
62437,0x1.3f32d2p-107,0x1.013022p+0,0x1.40ae0ap-108,0x1.40ae08p-108,1
62454,-0x1.7cca42p-125,0x1.f9495ep+0,-0x1.77cc0cp-125,-0x1.77cc0ep-125,1
62465,0x1.2e858p-132,-0x1.b8a448p-1,-0x0p+0,-0x1.045cp-133,0
62472,0x1.4f103ap-120,-0x1.e62268p-1,-0x1.3e22eep-121,-0x1.3e22ecp-121,1
62475,-0x1.c7a2p-133,0x1.0ad5b8p+0,-0x0p+0,-0x1.daeap-134,0
62485,0x1.c27c36p-114,0x1.bb0158p-2,0x1.85c7aap-116,0x1.85c7a8p-116,1
62490,0x1.56bcdep-105,-0x1.36a69ep-1,-0x1.9fe7cap-107,-0x1.9fe7c6p-107,1
62495,-0x1.37e89ap-117,-0x1.c2096p-2,0x1.122924p-119,0x1.122926p-119,1
62496,0x1.a6ab2ep-115,-0x1.40d20ep+0,-0x1.08d866p-115,-0x1.08d864p-115,1
62503,-0x1.7f7698p-128,-0x1.6b37fap-1,0x0p+0,0x1.10088p-129,0
62510,0x1.8a2768p-128,0x1.78b494p-1,0x0p+0,0x1.21fffp-129,0
62533,-0x1.a187e8p-128,-0x1.76e35ap+0,0x0p+0,0x1.31b7a8p-128,0
62574,-0x1.3522a2p-115,-0x1.6267fp-1,0x1.abf764p-117,0x1.abf766p-117,1
62581,-0x1.452032p-107,0x1.924684p-1,-0x1.fee61ap-109,-0x1.fee61cp-109,1
62605,0x1.21f98p-131,-0x1.84127ep+0,-0x0p+0,-0x1.b793p-132,0
62608,0x1.f291eep-105,-0x1.babe22p-2,-0x1.af2122p-107,-0x1.af212p-107,1
62631,-0x1.21fde8p-127,0x1.75c9c6p-1,-0x0p+0,-0x1.a76b8p-129,0
62633,0x1.635f8p-130,-0x1.1ab6dep-4,-0x0p+0,-0x1.8874p-135,0
62651,-0x1.52c0fap-122,0x1.4ffeb8p-3,-0x1.bc9b94p-126,-0x1.bc9b96p-126,1
62667,-0x1.b41bp-132,0x1.840b8ep+0,-0x0p+0,-0x1.4a868p-132,0
62673,-0x1.66852p-130,-0x1.3a42eap-1,0x0p+0,0x1.b81dp-132,0
62683,-0x1.b846e2p-124,-0x1.40455cp-1,0x1.1367fp-125,0x1.1367f2p-125,1
62684,-0x1.927fp-133,-0x1.da2132p-1,0x0p+0,0x1.74bap-134,0
62703,0x1.2f73cep-120,-0x1.5dab38p-1,-0x1.9e7bd8p-122,-0x1.9e7bd4p-122,1
62707,0x1.ee93fap-123,-0x1.394b0ep+1,-0x1.2ea1f8p-122,-0x1.2ea1f6p-122,1
62722,0x1.18cdcep-112,-0x1.f1e8fp-4,-0x1.11138ap-116,-0x1.111388p-116,1
62764,0x1.8096ep-127,0x1.253cb6p-1,0x0p+0,0x1.b887ep-129,0
62773,-0x1.70ae8ep-111,0x1.2a73e6p-1,-0x1.add218p-113,-0x1.add21ap-113,1
62779,0x1.81f04ap-119,0x1.856decp-4,0x1.258beep-123,0x1.258becp-123,1
62791,0x1.2092p-131,0x1.b53864p+0,0x0p+0,0x1.ecd9p-132,0
62792,0x1.b0b90ap-109,0x1.68525p-1,0x1.3087aep-110,0x1.3087acp-110,1
62843,0x1.7b03ep-130,0x1.527bf2p-1,0x0p+0,0x1.f523p-132,0
62852,-0x1.f07a4p-131,-0x1.1436dcp-1,0x0p+0,0x1.0bd7p-132,0
62872,0x1.36a18p-131,-0x1.5ae2cp-2,-0x0p+0,-0x1.a4eap-134,0
62903,0x1.ad958p-132,0x1.0ddcc8p-2,0x0p+0,0x1.c4d8p-135,0
62934,0x1.3c898p-125,0x1.0386aep-1,0x0p+0,0x1.40e5a4p-127,1
62949,-0x1.60d3eap-112,0x1.54436ap+0,-0x1.d4f65ap-113,-0x1.d4f65cp-113,1
62950,-0x1.4d2bd2p-117,-0x1.93debep-1,0x1.06ceeep-118,0x1.06cefp-118,1
62952,-0x1.d89836p-106,0x1.befad2p-1,-0x1.9c941ap-107,-0x1.9c941cp-107,1
62961,-0x1.7e218p-131,-0x1.9b85acp+0,0x0p+0,0x1.3323cp-131,0
62962,0x1.28cb8cp-126,-0x1.88a466p-5,-0x0p+0,-0x1.c7368p-132,1
62967,-0x1.6477dp-128,-0x1.e35d72p-1,0x0p+0,0x1.50881p-129,0
62974,-0x1.246d78p-127,-0x1.0a34bep-1,0x0p+0,0x1.3016p-129,0
62989,0x1.759b6ep-121,-0x1.5c4cd4p-5,-0x0p+0,-0x1.fc4f68p-127,1
63001,-0x1.2fb412p-113,-0x1.b62288p+0,0x1.03e386p-113,0x1.03e388p-113,1
63003,-0x1.c5b47cp-124,-0x1.8d6056p-3,0x0p+0,0x1.6021dp-127,1
63069,-0x1.64e606p-111,-0x1.f99a1ap-3,0x1.60704ap-114,0x1.60704cp-114,1
63084,0x1.fd2fd2p-122,0x1.5cea92p-2,0x1.5affcap-124,0x1.5affc8p-124,1
63116,0x1.b00e24p-126,-0x1.25f4fcp+1,-0x1.25f4fcp-125,-0x1.f01da6p-126,1
63124,0x1.9b2e9ep-121,0x1.aad2c6p-6,0x0p+0,0x1.56c71p-127,1
63136,0x1.3e8632p-117,0x1.8eb98p-4,0x1.f01b74p-122,0x1.f01b7p-122,1
63141,-0x1.e7b0c2p-126,0x1.840842p+0,-0x1.840842p-126,-0x1.719bdp-126,1
63156,-0x1.898acp-125,-0x1.fed47ap-2,0x0p+0,0x1.88a488p-127,1
63171,-0x1.67065p-126,0x1.0cf418p+0,-0x1.0cf418p-126,-0x1.7930fp-127,1
63179,-0x1.9c25f2p-113,-0x1.0167aep+0,0x1.9e6902p-114,0x1.9e6904p-114,1
63181,-0x1.1713e8p-124,0x1.618cd4p-2,-0x0p+0,-0x1.816bf8p-127,1
63185,0x1.809ac6p-121,0x1.43269ap-3,0x1.e57d48p-125,0x1.e57d46p-125,1
63206,0x1.9d205p-129,-0x1.3d0aaep-1,-0x0p+0,-0x1.ffa24p-131,0
63213,0x1.b0455ep-113,-0x1.d3491p-3,-0x1.8a84f6p-116,-0x1.8a84f4p-116,1
63215,0x1.a0f1aep-125,0x1.76651ap-4,0x0p+0,0x1.30e2ep-129,1
63221,-0x1.0d05ap-130,0x1.29d0d2p-2,-0x0p+0,-0x1.38f7p-133,0
63231,-0x1.13c956p-107,0x1.843d94p+0,-0x1.a23f7ap-108,-0x1.a23f7cp-108,1
63249,-0x1.1b00f6p-109,0x1.2f8ddp-1,-0x1.4f92e6p-111,-0x1.4f92e8p-111,1
63284,-0x1.1b919p-127,0x1.8bbfe2p+0,-0x0p+0,-0x1.b65e28p-128,0
63297,-0x1.a2418ep-110,0x1.343642p+0,-0x1.f78f82p-111,-0x1.f78f84p-111,1
63315,-0x1.608898p-127,0x1.1fc49cp+0,-0x0p+0,-0x1.8c47ep-128,0
63322,-0x1.53e2p-133,-0x1.2ecb2ep-1,0x0p+0,0x1.9204p-135,0
63331,-0x1.9c75f2p-120,0x1.fa81a8p-2,-0x1.980902p-122,-0x1.980904p-122,1
63335,-0x1.099602p-114,-0x1.8b8a34p-1,0x1.9a59d2p-116,0x1.9a59d6p-116,1
63360,-0x1.71eac8p-127,-0x1.4df5dp+0,0x0p+0,0x1.e29198p-128,0
63369,-0x1.4b63dap-114,-0x1.21728cp+0,0x1.76affep-115,0x1.76bp-115,1
63373,-0x1.3f176ap-125,-0x1.67febap-3,0x0p+0,0x1.c0b75p-129,1
63396,-0x1.dec43cp-126,-0x1.b2ca32p-1,0x0p+0,0x1.969168p-127,1
63399,0x1.1e39bap-117,0x1.2f9d12p+0,0x1.5375f4p-118,0x1.5375fp-118,1
63421,-0x1.470b32p-110,0x1.083ce4p-6,-0x1.519154p-117,-0x1.519156p-117,1
63424,0x1.7a6fbap-120,-0x1.fb6dccp-3,-0x1.770eccp-123,-0x1.770ecap-123,1
63462,-0x1.a475dcp-126,0x1.e2a24ap+0,-0x1.e2a24ap-126,-0x1.8c583ap-126,1
63477,0x1.0e17c6p-123,-0x1.0c371ap-5,-0x0p+0,-0x1.1afbp-129,1
63495,-0x1.0c1da2p-120,0x1.884bcap+0,-0x1.9adcbep-121,-0x1.9adccp-121,1
63534,0x1.1d9d12p-120,0x1.69c46ap-1,0x1.939da4p-122,0x1.939dap-122,1
63536,0x1.6005p-131,-0x1.a2f6fap-3,-0x0p+0,-0x1.200ep-134,0
63539,0x1.8964fap-125,-0x1.67e408p-1,-0x1.148584p-126,-0x1.148582p-126,1
63546,0x1.81ecp-131,-0x1.8b88c4p-3,-0x0p+0,-0x1.2a22p-134,0
63547,0x1.a558d6p-110,-0x1.ac9fap-3,-0x1.60bba2p-113,-0x1.60bbap-113,1
63551,-0x1.15ea2p-126,0x1.7602dcp-3,-0x0p+0,-0x1.96072p-130,1
63555,0x1.0781fp-128,-0x1.1d38b6p-1,-0x0p+0,-0x1.2596p-130,0
63560,0x1.5adc0cp-121,-0x1.e7575cp-10,-0x0p+0,-0x1.4a278p-131,1
63566,-0x1.907a6ep-123,-0x1.90e072p-4,0x0p+0,0x1.398f34p-127,1
63568,-0x1.b730d6p-106,0x1.72995p-2,-0x1.3de5ccp-108,-0x1.3de5cep-108,1
63585,-0x1.6217eep-116,0x1.c2e38p-4,-0x1.37d45cp-120,-0x1.37d45ep-120,1
63593,0x1.d9b6p-133,-0x1.0de782p-2,-0x0p+0,-0x1.f37p-136,0
63616,0x1.7b91p-129,-0x1.0ce346p-1,-0x0p+0,-0x1.8eaccp-131,0
63618,0x1.001c8p-132,0x1.2b0674p+1,0x0p+0,0x1.2b27p-132,0
63630,-0x1.4e2ap-133,-0x1.21ce22p-1,0x0p+0,0x1.7a4cp-135,0
63685,0x1.16283p-127,0x1.0581cap+0,0x0p+0,0x1.1c24p-128,0
63689,-0x1.00cacp-130,-0x1.7d08f6p-1,0x0p+0,0x1.7e368p-132,0
63694,-0x1.8214f8p-128,-0x1.553b2ep-3,0x0p+0,0x1.014f8p-131,0
63721,-0x1.324656p-106,0x1.71daa8p+0,-0x1.ba7cf8p-107,-0x1.ba7cfap-107,1
63725,-0x1.2c287ap-115,-0x1.16c2fap-1,0x1.46d88ep-117,0x1.46d89p-117,1
63730,-0x1.0ea89p-129,0x1.35d87p-1,-0x0p+0,-0x1.47964p-131,0
63732,-0x1.67ab82p-121,-0x1.35b1bep-2,0x1.b31bbap-124,0x1.b31bbcp-124,1
63738,0x1.60e254p-125,-0x1.45e4f8p-3,-0x0p+0,-0x1.c13afp-129,1
63740,0x1.cf8a8p-131,0x1.749c76p-1,0x0p+0,0x1.51588p-132,0
63753,0x1.79d98p-131,-0x1.5c98f8p-3,-0x0p+0,-0x1.0142p-134,0
63756,-0x1.59f9f2p-123,-0x1.9057c8p-3,0x1.0e8694p-126,0x1.0e8696p-126,1
63759,-0x1.13e84p-130,-0x1.4efc78p-1,0x0p+0,0x1.6909p-132,0
63765,-0x1.bf9p-133,0x1.4bf468p-2,-0x0p+0,-0x1.222cp-135,0
63776,0x1.085224p-124,-0x1.4f7c9ep-3,-0x0p+0,-0x1.5a6428p-128,1
63781,-0x1.35002p-127,0x1.40ffb8p+0,-0x0p+0,-0x1.8374dp-128,0
63795,0x1.51d7eap-109,-0x1.43b07p-1,-0x1.ab2c48p-111,-0x1.ab2c44p-111,1
63830,0x1.0db08p-132,-0x1.98ea7ap-1,-0x0p+0,-0x1.aec8p-134,0
63835,0x1.cddb26p-108,0x1.d3939p-2,0x1.a5c882p-110,0x1.a5c88p-110,1
63838,0x1.b49946p-114,0x1.26a3dcp+1,0x1.f67f7ep-114,0x1.f67f7cp-114,1
63846,0x1.bb0e8p-130,-0x1.ea5f88p-1,-0x0p+0,-0x1.a8578p-131,0
63847,-0x1.61ad8p-129,-0x1.614a86p-1,0x0p+0,0x1.e8174p-131,0
63850,0x1.93962p-130,0x1.0f6c3ep+0,0x0p+0,0x1.abe68p-131,0
63875,-0x1.b4c46ep-121,0x1.d7f334p-1,-0x1.929a28p-122,-0x1.929a2ap-122,1
63889,-0x1.d60a38p-127,0x1.85463ap-1,-0x0p+0,-0x1.655f4p-128,0
63904,0x1.5b241ep-119,0x1.9cc012p-3,0x1.17d94cp-122,0x1.17d94ap-122,1
63910,-0x1.72d52ep-122,-0x1.be167ep-1,0x1.4317fcp-123,0x1.4317fep-123,1
63919,-0x1.386ep-133,0x1.b92298p-3,-0x0p+0,-0x1.0d3p-136,0
63933,-0x1.bfeea8p-128,-0x1.16fd6ep-2,0x0p+0,0x1.e8288p-131,0
63939,0x1.64e9c6p-119,-0x1.4bb7eep-1,-0x1.ce7ab4p-121,-0x1.ce7ab2p-121,1
63951,0x1.58d666p-113,0x1.8f937cp-1,0x1.0d1e6cp-114,0x1.0d1e6ap-114,1
63963,0x1.cd751ap-112,-0x1.2738e4p-2,-0x1.0a144p-114,-0x1.0a143ep-114,1
63965,-0x1.41b67ap-115,-0x1.c70cb8p-1,0x1.1deda6p-116,0x1.1deda8p-116,1
64001,-0x1.579cd6p-105,0x1.800124p-3,-0x1.01b662p-108,-0x1.01b664p-108,1
64009,0x1.ef45p-132,0x1.dcd06p-3,0x0p+0,0x1.cd3cp-135,0
64015,-0x1.8f47p-132,-0x1.e51a42p-1,0x0p+0,0x1.7a4dp-133,0
64016,0x1.7b5918p-128,-0x1.07c76p+0,-0x0p+0,-0x1.86ep-129,0
64028,0x1.2a51b6p-124,0x1.b130c6p-2,0x0p+0,0x1.f8cd0cp-127,1
64060,-0x1.3bdfc6p-110,0x1.77dbfp-1,-0x1.cfc428p-112,-0x1.cfc42cp-112,1
64071,0x1.8bf4cp-131,0x1.a9bbd6p-1,0x0p+0,0x1.493ep-132,0
64085,0x1.ceff7ep-109,-0x1.11f5ecp+0,-0x1.ef7b3cp-110,-0x1.ef7b3ap-110,1
64108,-0x1.0f419p-129,-0x1.1dbbf8p-3,0x0p+0,0x1.2ec3p-133,0
64110,0x1.9f3724p-127,0x1.e899dcp-2,0x0p+0,0x1.8c3d5p-129,0
64126,0x1.4c48aep-105,-0x1.3d3f7p-1,-0x1.9bc85ap-107,-0x1.9bc856p-107,1
64159,0x1.dbab96p-109,0x1.0c3ab4p+1,0x1.f264b6p-109,0x1.f264b4p-109,1
64161,-0x1.25f8a6p-117,0x1.4ce2f2p-2,-0x1.7e431p-120,-0x1.7e4312p-120,1
64202,0x1.175ea2p-111,0x1.51b692p-1,0x1.708ad2p-113,0x1.708adp-113,1
64206,-0x1.206d38p-127,0x1.357336p-1,-0x0p+0,-0x1.5ca5ap-129,0
64214,0x1.584f64p-127,-0x1.6ec92ep-3,-0x0p+0,-0x1.ed5p-131,0
64220,-0x1.974006p-126,0x1.df4f9p-3,-0x0p+0,-0x1.7d3fbp-129,1
64234,0x1.ecf18ep-124,-0x1.e5837ap+0,-0x1.d37168p-124,-0x1.d37166p-124,1
64235,-0x1.a2643ep-110,-0x1.c2a2fap-1,0x1.703f46p-111,0x1.703f48p-111,1
64240,-0x1.b8c8ap-130,0x1.fdfe0cp-1,-0x0p+0,-0x1.b70ep-131,0
64256,-0x1.00768p-130,0x1.5cdf18p-1,-0x0p+0,-0x1.5d808p-132,0
64257,0x1.aa99p-132,0x1.0f96dep-3,0x0p+0,0x1.c49p-136,0
64263,-0x1.b7cd0ep-117,-0x1.9bcedap-1,0x1.61bcc8p-118,0x1.61bccap-118,1
64285,0x1.2065a2p-110,-0x1.8d9e02p-1,-0x1.bfefap-112,-0x1.bfef9ep-112,1
64288,-0x1.8b6b74p-127,0x1.325c66p+0,-0x0p+0,-0x1.d93528p-128,0
64290,-0x1.0cc4a8p-127,0x1.73aabcp-2,-0x0p+0,-0x1.86344p-130,0
64300,0x1.297f5p-129,-0x1.7a1deep-1,-0x0p+0,-0x1.b768cp-131,0
64303,0x1.022f96p-114,0x1.a6e23ap+0,0x1.aa7e9ep-115,0x1.aa7e9ap-115,1
64315,0x1.ccaca6p-110,-0x1.0c8a76p+0,-0x1.e33deap-111,-0x1.e33de8p-111,1
64320,0x1.273562p-126,-0x1.2a57cep-1,-0x0p+0,-0x1.58096p-128,1
64324,0x1.3d9162p-126,-0x1.1b19d8p-1,-0x0p+0,-0x1.5f2fc8p-128,1
64325,-0x1.3e776p-126,0x1.02afbcp-4,-0x0p+0,-0x1.41cfp-131,1
64326,0x1.b6b676p-112,0x1.1f9516p-1,0x1.ecd60ep-114,0x1.ecd60cp-114,1
64338,-0x1.6e4336p-109,-0x1.e3c188p-1,0x1.5a0ed8p-110,0x1.5a0edap-110,1
64373,-0x1.c2d372p-122,0x1.5fe4d8p-2,-0x1.35d974p-124,-0x1.35d976p-124,1
64407,-0x1.18494p-129,0x1.ab88b6p-1,-0x0p+0,-0x1.d417cp-131,0
64419,0x1.c445ap-129,0x1.4cf624p+0,0x0p+0,0x1.261e9p-129,0
64437,0x1.5172fep-113,0x1.9d1958p+0,0x1.1043f8p-113,0x1.1043f6p-113,1
64442,-0x1.5f8p-133,0x1.bfb7bcp-1,-0x0p+0,-0x1.335ep-134,0
64445,0x1.a317p-132,0x1.c4fcd8p-3,0x0p+0,0x1.72c8p-135,0
64484,-0x1.3a314p-131,0x1.442996p+1,-0x0p+0,-0x1.8dd9p-131,0
64491,0x1.11608ep-114,-0x1.114e18p+0,-0x1.23db5ep-115,-0x1.23db5cp-115,1
64502,-0x1.34097p-128,-0x1.b0c5ccp-1,0x0p+0,0x1.045efp-129,0
64507,0x1.2118c2p-110,-0x1.f77fbp-1,-0x1.1c4beep-111,-0x1.1c4becp-111,1
64509,0x1.f9868p-131,0x1.a060a8p-1,0x0p+0,0x1.9b1c8p-132,0
64510,-0x1.45728p-132,-0x1.cd1726p-2,0x0p+0,0x1.2516p-134,0
64515,0x1.203fb2p-121,0x1.8600a4p-3,0x1.b721c4p-125,0x1.b721c2p-125,1
64529,0x1.a54ec8p-128,0x1.873a3ap+0,0x0p+0,0x1.41ed9p-128,0
64533,-0x1.8c1cb6p-119,0x1.bc40acp-2,-0x1.57b2ecp-121,-0x1.57b2eep-121,1
64543,0x1.a14a52p-116,-0x1.5e1cep+0,-0x1.1d5958p-116,-0x1.1d5956p-116,1
64546,0x1.0218p-132,0x1.66bcc4p-2,0x0p+0,0x1.69acp-135,0
64570,-0x1.e48066p-119,0x1.2a76cap-3,-0x1.1a6f22p-122,-0x1.1a6f24p-122,1
64574,-0x1.ed1dp-132,-0x1.76695ep+0,0x0p+0,0x1.68998p-132,0
64602,0x1.be806p-125,-0x1.20508ep-1,-0x0p+0,-0x1.f6dcecp-127,1
64607,0x1.2c6306p-122,0x1.19a856p-1,0x1.4a7e3ap-124,0x1.4a7e38p-124,1
64649,0x1.f581aap-109,-0x1.fedb5ep-1,-0x1.f4630ap-110,-0x1.f46308p-110,1
64652,0x1.71559ep-115,0x1.0cb144p+0,0x1.83a562p-116,0x1.83a56p-116,1
64654,-0x1.d2ead6p-118,-0x1.914c8p+0,0x1.6df6aep-118,0x1.6df6bp-118,1
64662,0x1.142096p-121,0x1.1ec44p+0,0x1.355018p-122,0x1.355016p-122,1
64663,0x1.452d2ap-123,-0x1.f8d87ep+0,-0x1.40a1f6p-123,-0x1.40a1f4p-123,1
64676,0x1.2998cp-130,0x1.51dc4p+0,0x0p+0,0x1.88c2p-131,0
64683,0x1.8595dp-128,-0x1.a13226p-3,-0x0p+0,-0x1.3d72cp-131,0
64694,0x1.ccdap-133,0x1.901f6p-1,0x0p+0,0x1.6826p-134,0
64706,-0x1.91364ap-122,0x1.01014ep-1,-0x1.92c98ap-124,-0x1.92c98cp-124,1
64714,-0x1.62a92ep-106,-0x1.9c266p-1,0x1.1d7eb6p-107,0x1.1d7eb8p-107,1
64715,0x1.66c2p-133,0x1.2d811cp-1,0x0p+0,0x1.a688p-135,0
64718,-0x1.f120b8p-128,-0x1.4c92a8p-2,0x0p+0,0x1.42e9ap-130,0
64725,-0x1.20f4e6p-109,0x1.664d84p+0,-0x1.946df6p-110,-0x1.946df8p-110,1
64726,-0x1.6b96f2p-126,-0x1.919fd8p+0,0x1.919fd8p-126,0x1.1d353ap-126,1
64730,0x1.e9d70ep-123,0x1.ad5e88p+0,0x1.9ac924p-123,0x1.9ac922p-123,1
64742,-0x1.88869cp-127,0x1.5643b8p-2,-0x0p+0,-0x1.0665dp-129,0
64750,-0x1.50de42p-106,-0x1.afa8e8p-1,0x1.1c0238p-107,0x1.1c023ap-107,1
64753,0x1.a3575ep-117,0x1.2c3dfap+1,0x1.ebcfeap-117,0x1.ebcfe8p-117,1
64754,0x1.8538p-133,-0x1.156b3ep-4,-0x0p+0,-0x1.a5cp-138,0
64762,-0x1.6dab8p-132,0x1.34aea2p+0,-0x0p+0,-0x1.b8ecp-133,0
64764,0x1.d07accp-127,-0x1.4100acp+1,-0x0p+0,-0x1.23359cp-126,0
64783,-0x1.a487eap-122,0x1.a0c594p-1,-0x1.5650b4p-123,-0x1.5650b6p-123,1
64801,0x1.c1f4bep-115,-0x1.de7438p-4,-0x1.a479a2p-119,-0x1.a479ap-119,1
64809,0x1.ee422ap-113,-0x1.8d49bap-1,-0x1.7f857cp-114,-0x1.7f857ap-114,1
64816,0x1.bef5e2p-123,0x1.9f885ap-1,0x1.6abf56p-124,0x1.6abf54p-124,1
64834,-0x1.4733dep-106,-0x1.995beap-1,0x1.059baap-107,0x1.059bacp-107,1
64843,-0x1.b2106p-130,-0x1.8246fap-1,0x0p+0,0x1.477a8p-131,0
64852,-0x1.e869cep-107,-0x1.e16b0cp-2,0x1.cb3d82p-109,0x1.cb3d84p-109,1
64853,-0x1.8f9d9ep-109,0x1.82c1f2p-2,-0x1.2ddd32p-111,-0x1.2ddd34p-111,1
64872,-0x1.466b1ap-123,-0x1.947144p-2,0x1.01d8b6p-125,0x1.01d8b8p-125,1
64873,0x1.8e977ap-113,0x1.78e5aep+0,0x1.256a0ep-113,0x1.256a0cp-113,1
64887,-0x1.5357e6p-116,-0x1.a7feaep-1,0x1.1903e8p-117,0x1.1903eap-117,1
64893,-0x1.3dffbap-124,0x1.163098p-1,-0x1.59900ep-126,-0x1.59901p-126,1
64901,0x1.f53d3ap-112,0x1.1823dcp+0,0x1.124098p-112,0x1.124096p-112,1
64905,-0x1.0a474p-131,0x1.36cb4ap+0,-0x0p+0,-0x1.43458p-132,0
64932,-0x1.4e6f68p-128,-0x1.69686cp-2,0x0p+0,0x1.d8238p-131,0
64942,0x1.444e5ap-116,0x1.fd21d2p-1,0x1.427d52p-117,0x1.427d5p-117,1
64973,-0x1.26f936p-118,0x1.877d2p-3,-0x1.c316cap-122,-0x1.c316cep-122,1
64975,-0x1.3ceb76p-115,-0x1.8f2a46p-2,0x1.ee275p-118,0x1.ee2752p-118,1
64986,-0x1.4a331p-129,-0x1.9afba8p-4,0x0p+0,0x1.090dp-133,0
64993,-0x1.a3ad76p-125,0x1.e01b3cp-1,-0x1.8988fp-126,-0x1.8988f2p-126,1
65002,-0x1.833d46p-126,0x1.1c94b8p+0,-0x1.1c94b8p-126,-0x1.ae78fp-127,1
