index,gate,up,gpu,ref,flagged
120594,0x1.5d17aep-113,0x1.617c7p+0,0x1.e2075ap-114,0x1.e20758p-114,1
120620,-0x1.a0c3p-133,0x1.530d46p-2,-0x0p+0,-0x1.13fcp-135,0
120622,0x1.97b56ep-118,0x1.b1e33cp-2,0x1.5981e4p-120,0x1.5981e2p-120,1
120623,-0x1.41627ap-117,-0x1.b484e2p+0,0x1.120144p-117,0x1.120146p-117,1
120643,-0x1.6360c8p-128,0x1.2c9a6cp+0,-0x0p+0,-0x1.a14bcp-129,0
120665,-0x1.32716ap-120,0x1.7b9502p-1,-0x1.c66044p-122,-0x1.c66046p-122,1
120695,-0x1.36fb0ap-112,0x1.28fe8ap-1,-0x1.68c776p-114,-0x1.68c778p-114,1
120708,-0x1.43d70ep-112,-0x1.73c56ep+0,0x1.d64a66p-113,0x1.d64a68p-113,1
120725,0x1.25d4ap-130,0x1.198af4p+0,0x0p+0,0x1.4325cp-131,0
120726,-0x1.db238cp-126,0x1.0ab9f2p+1,-0x1.0ab9f2p-125,-0x1.ef0c0ep-126,1
120729,0x1.f144c2p-115,-0x1.008a3cp-4,-0x1.f25148p-120,-0x1.f25146p-120,1
120769,0x1.4894d8p-126,-0x1.3873f6p+0,-0x1.3873f6p-126,-0x1.910a3cp-127,1
120771,-0x1.0aeab2p-115,-0x1.c03ae8p-2,0x1.d3582p-118,0x1.d35822p-118,1
120794,0x1.142eep-130,0x1.1add14p-4,0x0p+0,0x1.312cp-135,0
120800,-0x1.0fc13ep-126,0x1.235c2p+1,-0x1.235c2p-125,-0x1.354a78p-126,1
120803,0x1.cd6b0ep-106,-0x1.96b3aep-1,-0x1.6e85d4p-107,-0x1.6e85d2p-107,1
120806,0x1.68da4ap-119,0x1.8b0d8cp-1,0x1.166df6p-120,0x1.166df4p-120,1
120811,-0x1.872592p-123,0x1.d63c5ap-3,-0x1.673d96p-126,-0x1.673d98p-126,1
120839,-0x1.1aecp-133,0x1.bec176p-3,-0x0p+0,-0x1.edcp-137,0
120847,-0x1.41cf4ap-126,0x1.9d100ep-2,-0x0p+0,-0x1.039fc8p-128,1
120889,0x1.7a39p-132,0x1.b7d652p-4,0x0p+0,0x1.44e8p-136,0
120897,-0x1.06b03cp-127,0x1.8b05d6p-5,-0x0p+0,-0x1.9558p-133,0
120928,0x1.2eb8fep-119,-0x1.4769a6p+0,-0x1.832b3ep-120,-0x1.832b3ap-120,1
120955,-0x1.5ff12ep-106,0x1.4c9c94p+0,-0x1.c94408p-107,-0x1.c9440ap-107,1
120958,0x1.d4984ap-108,-0x1.cde2bp-1,-0x1.a6ba98p-109,-0x1.a6ba96p-109,1
121039,0x1.22e442p-123,-0x1.6399f4p-4,-0x0p+0,-0x1.941178p-128,1
121052,-0x1.136cap-130,-0x1.e6507ep-2,0x0p+0,0x1.059b8p-132,0
121093,0x1.53e03ap-121,0x1.04f33p+0,0x1.5a729ap-122,0x1.5a7298p-122,1
121096,-0x1.3361p-131,0x1.85e5ecp-1,-0x0p+0,-0x1.d426p-133,0
121098,0x1.be4dcp-131,-0x1.1f565ap+0,-0x0p+0,-0x1.f4fp-132,0
121124,-0x1.ff4766p-116,0x1.2bce08p-3,-0x1.2b61eep-119,-0x1.2b61fp-119,1
121140,0x1.44bf92p-125,-0x1.3138cap-2,-0x0p+0,-0x1.833048p-128,1
121173,-0x1.ecf216p-107,0x1.ab1ceep+0,-0x1.9b37bep-107,-0x1.9b37cp-107,1
121179,0x1.f8d496p-109,-0x1.03f708p-4,-0x1.00531ep-113,-0x1.00531cp-113,1
121182,0x1.41d46ep-106,0x1.fca8e8p-1,0x1.3fbaf2p-107,0x1.3fbafp-107,1
121191,-0x1.da12c6p-112,0x1.95d04ap+0,-0x1.77c0b4p-112,-0x1.77c0b6p-112,1
121207,-0x1.514abp-129,0x1.034ba8p+0,-0x0p+0,-0x1.55a24p-130,0
121215,0x1.4a3fep-127,-0x1.04f7a4p-1,-0x0p+0,-0x1.50a85p-129,0
121223,0x1.d4627ep-109,-0x1.f8c568p-3,-0x1.cdc58ep-112,-0x1.cdc58cp-112,1
121240,-0x1.bbd1d4p-126,0x1.2ca058p+0,-0x1.2ca058p-126,-0x1.0497fp-126,1
121256,0x1.19cd6p-129,0x1.637d68p-1,0x0p+0,0x1.8751cp-131,0
121258,0x1.0743ap-130,-0x1.0c4db4p-4,-0x0p+0,-0x1.13ecp-135,0
121264,0x1.dbad32p-108,-0x1.22ca22p-4,-0x1.0e28e6p-112,-0x1.0e28e4p-112,1
121274,0x1.08ce76p-111,0x1.854246p-1,0x1.92a64ap-113,0x1.92a646p-113,1
121281,-0x1.160bap-129,-0x1.fa9a4cp-4,0x0p+0,0x1.131dp-133,0
121336,0x1.53c83ap-109,-0x1.65bb6ep-2,-0x1.dacfp-112,-0x1.dacefep-112,1
121341,0x1.196fa4p-127,-0x1.b4d504p-2,-0x0p+0,-0x1.e03c4p-130,0
