worker,t0,t1,bytes
cpu,27623.682657,27623.683614,22020096
cpu,27623.683614,27623.684585,22020096
cpu,27623.684585,27623.685539,22020096
cpu,27623.685540,27623.686502,22020096
cpu,27623.686503,27623.687461,22020096
cpu,27623.687461,27623.688427,22020096
cpu,27623.688427,27623.689395,22020096
cpu,27623.689396,27623.690350,22020096
cpu,27623.690351,27623.691311,22020096
cpu,27623.691312,27623.692284,22020096
cpu,27623.692285,27623.693235,22020096
cpu,27623.693235,27623.694194,22020096
cpu,27623.694194,27623.695141,22020096
cpu,27623.695142,27623.696110,22020096
cpu,27623.696111,27623.697066,22020096
cpu,27623.697066,27623.698023,22020096
cpu,27623.698024,27623.698988,22020096
cpu,27623.698988,27623.699949,22020096
cpu,27623.699949,27623.700922,22020096
cpu,27623.700922,27623.701874,22020096
cpu,27623.701875,27623.702842,22020096
cpu,27623.702843,27623.703801,22020096
cpu,27623.703801,27623.704782,22020096
cpu,27623.704783,27623.705755,22020096
cpu,27623.705755,27623.706726,22020096
cpu,27623.706726,27623.707729,22020096
cpu,27623.707729,27623.708726,22020096
cpu,27623.708726,27623.709744,22020096
cpu,27623.709744,27623.710721,22020096
cpu,27623.710721,27623.711680,22020096
cpu,27623.711680,27623.712649,22020096
cpu,27623.712649,27623.713625,22020096
cpu,27623.713625,27623.714576,22020096
cpu,27623.714576,27623.715531,22020096
cpu,27623.715531,27623.716495,22020096
cpu,27623.716495,27623.717447,22020096
cpu,27623.717447,27623.718406,22020096
cpu,27623.718406,27623.719381,22020096
cpu,27623.719381,27623.720340,22020096
cpu,27623.720340,27623.721295,22020096
cpu,27623.721296,27623.722249,22020096
cpu,27623.722249,27623.723214,22020096
cpu,27623.723214,27623.724196,22020096
cpu,27623.724196,27623.725162,22020096
cpu,27623.725163,27623.726132,22020096
cpu,27623.726132,27623.727096,22020096
cpu,27623.727096,27623.728078,22020096
cpu,27623.728078,27623.729044,22020096
cpu,27623.729045,27623.729998,22020096
cpu,27623.729998,27623.730956,22020096
cpu,27623.730956,27623.731917,22020096
cpu,27623.731917,27623.732889,22020096
cpu,27623.732890,27623.733875,22020096
cpu,27623.733876,27623.734844,22020096
cpu,27623.734844,27623.735799,22020096
cpu,27623.735800,27623.736778,22020096
cpu,27623.736778,27623.737733,22020096
cpu,27623.737733,27623.738689,22020096
cpu,27623.738745,27623.739724,22020096
cpu,27623.739724,27623.740695,22020096
cpu,27623.740695,27623.741651,22020096
cpu,27623.741651,27623.742609,22020096
cpu,27623.742609,27623.743567,22020096
cpu,27623.743567,27623.744539,22020096
cpu,27623.744539,27623.745497,22020096
cpu,27623.745497,27623.746452,22020096
cpu,27623.746453,27623.747405,22020096
cpu,27623.747405,27623.748386,22020096
cpu,27623.748386,27623.749357,22020096
