NOTE: no readable battery power rail; power_w is NaN and J/GB is NOT measurable on this device.
repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,rand,8,4,585285632,2.0003,292.60,35717.3,98.8,215.8,0,0,nan,54.9,57.5,qmx-1-0
1,buffered,rand,8,8,869613568,2.0005,434.70,53063.8,137.1,345.0,0,0,nan,57.1,59.0,qmx-1-0
1,buffered,rand,16,1,279478272,2.0002,139.72,8528.0,113.7,165.8,0,0,nan,57.9,54.8,pm8550_tz
1,buffered,rand,16,2,588414976,2.0002,294.17,17955.0,105.7,184.8,0,0,nan,54.7,56.0,qmx-1-1
1,buffered,rand,16,4,964427776,2.0003,482.13,29427.1,117.5,265.6,0,0,nan,55.6,58.3,qmx-1-0
1,buffered,rand,16,8,1463271424,2.0005,731.46,44644.9,164.6,396.8,0,0,nan,56.7,59.0,qmx-1-1
1,buffered,rand,32,1,458358784,2.0003,229.15,6993.1,138.6,200.4,0,0,nan,58.3,54.9,pm8550_tz
1,buffered,rand,32,2,919339008,2.0002,459.61,14026.3,134.5,224.3,0,0,nan,54.6,55.2,qmx-1-0
1,buffered,rand,32,4,1655242752,2.0003,827.49,25253.1,147.3,289.5,0,0,nan,55.2,57.9,qmx-1-0
1,buffered,rand,32,8,2303328256,2.0049,1148.86,35060.5,211.2,460.4,0,0,nan,57.5,61.7,qmx-1-0
1,buffered,rand,64,1,700710912,2.0003,350.30,5345.1,181.8,253.9,0,0,nan,59.4,55.0,pm8550_tz
1,buffered,rand,64,2,1498873856,2.0002,749.35,11434.2,167.3,282.5,0,0,nan,55.0,57.1,qmx-1-0
1,buffered,rand,64,4,2460024832,2.0036,1227.78,18734.4,199.1,408.1,0,0,nan,56.3,59.4,qmx-1-0
1,buffered,rand,64,8,3219128320,2.0012,1608.59,24545.1,297.7,850.5,0,0,nan,57.9,62.5,cpullc-1-0
1,buffered,rand,128,1,941752320,2.0004,470.77,3591.7,273.9,378.5,0,0,nan,59.8,55.8,pm8550_tz
1,buffered,rand,128,2,1869611008,2.0003,934.67,7131.0,271.0,409.9,0,0,nan,55.6,55.8,pm8550_tz
1,buffered,rand,128,4,3134193664,2.0005,1566.70,11953.0,316.7,590.3,0,0,nan,55.6,59.0,cpu-1-0-1
1,buffered,rand,128,8,3845914624,2.0010,1921.98,14663.5,496.8,1652.9,0,0,nan,58.3,62.5,cpullc-1-1
1,buffered,rand,256,1,1377566720,2.0005,688.61,2626.8,373.2,546.7,0,0,nan,60.6,56.3,pm8550_tz
1,buffered,rand,256,2,2855272448,2.0010,1426.96,5443.4,355.7,559.8,0,0,nan,56.1,57.0,pm8550_tz
1,buffered,rand,256,4,4400611328,2.0006,2199.65,8391.0,441.4,1170.7,0,0,nan,56.3,59.4,cpu-1-0-1
1,buffered,rand,256,8,5232656384,2.0010,2614.97,9975.3,767.4,1385.5,0,0,nan,58.3,60.6,cpu-1-0-1
1,buffered,rand,512,1,1709178880,2.0007,854.31,1629.5,603.4,811.9,0,0,nan,59.0,56.9,pm8550_tz
1,buffered,rand,512,2,3472883712,2.0007,1735.79,3310.8,586.4,854.2,0,0,nan,56.4,57.5,pm8550_tz
1,buffered,rand,512,4,5088739328,2.0010,2543.14,4850.7,791.2,1230.1,0,0,nan,56.7,59.4,cpullc-1-1
1,buffered,rand,512,8,5186781184,2.0031,2589.34,4938.8,1553.0,3478.9,0,0,nan,58.3,61.4,cpullc-1-0
1,buffered,rand,1024,1,1860173824,2.0011,929.58,886.5,1119.4,1675.6,0,0,nan,59.0,57.2,pm8550_tz
1,buffered,rand,1024,2,3708813312,2.0007,1853.72,1767.8,1109.1,1724.4,0,0,nan,56.7,57.9,pm8550_tz
1,buffered,rand,1024,4,5043650560,2.0015,2519.96,2403.2,1538.9,4648.4,0,0,nan,57.5,59.8,cpullc-1-0
1,buffered,rand,1024,8,5205131264,2.0038,2597.59,2477.3,2966.3,10984.3,0,0,nan,59.0,62.5,cpullc-1-0
1,buffered,rand,2048,1,1778384896,2.0014,888.55,423.7,2350.3,3560.1,0,0,nan,58.3,57.4,pm8550_tz
1,buffered,rand,2048,2,3594518528,2.0021,1795.37,856.1,2317.5,3228.2,0,0,nan,56.9,58.0,pm8550_tz
1,buffered,rand,2048,4,4838129664,2.0031,2415.35,1151.7,3120.6,10160.9,0,0,nan,56.8,59.8,qmx-1-0
1,buffered,rand,2048,8,5205131264,2.0061,2594.71,1237.3,5860.2,20190.7,0,0,nan,57.2,62.5,qmx-1-0
1,buffered,rand,4096,1,1866465280,2.0025,932.06,222.2,4458.0,5964.3,0,0,nan,57.5,57.2,pm8550_tz
1,buffered,rand,4096,2,3510632448,2.0051,1750.84,417.4,4789.8,6281.1,0,0,nan,56.8,58.0,pm8550_tz
1,buffered,rand,4096,4,5112856576,2.0052,2549.81,607.9,6182.0,12905.1,0,0,nan,57.0,61.4,qmx-1-0
