worker,t0,t1,bytes
cpu,27458.445945,27458.446896,22020096
cpu,27458.446896,27458.447850,22020096
cpu,27458.447850,27458.448824,22020096
cpu,27458.448824,27458.449774,22020096
cpu,27458.449774,27458.450723,22020096
cpu,27458.450723,27458.451680,22020096
cpu,27458.451680,27458.452650,22020096
cpu,27458.452650,27458.453606,22020096
cpu,27458.453607,27458.454565,22020096
cpu,27458.454565,27458.455533,22020096
cpu,27458.455533,27458.456512,22020096
cpu,27458.456512,27458.457469,22020096
cpu,27458.457470,27458.458427,22020096
cpu,27458.458428,27458.459386,22020096
cpu,27458.459387,27458.460362,22020096
cpu,27458.460362,27458.461322,22020096
cpu,27458.461322,27458.462277,22020096
cpu,27458.462277,27458.463232,22020096
cpu,27458.463232,27458.464205,22020096
cpu,27458.464205,27458.465155,22020096
cpu,27458.465155,27458.466175,22020096
cpu,27458.466176,27458.467164,22020096
cpu,27458.467164,27458.468187,22020096
cpu,27458.468187,27458.469160,22020096
cpu,27458.469161,27458.470191,22020096
cpu,27458.470191,27458.471146,22020096
cpu,27458.471146,27458.472114,22020096
cpu,27458.472114,27458.473086,22020096
cpu,27458.473086,27458.474042,22020096
cpu,27458.474042,27458.475005,22020096
cpu,27458.475005,27458.475963,22020096
cpu,27458.475963,27458.476936,22020096
cpu,27458.476936,27458.477892,22020096
cpu,27458.477892,27458.478849,22020096
cpu,27458.478849,27458.479821,22020096
cpu,27458.479821,27458.480793,22020096
cpu,27458.480793,27458.481751,22020096
cpu,27458.481751,27458.482713,22020096
cpu,27458.482713,27458.483668,22020096
cpu,27458.483674,27458.484650,22020096
cpu,27458.484650,27458.485607,22020096
cpu,27458.485607,27458.486563,22020096
cpu,27458.486563,27458.487536,22020096
cpu,27458.487536,27458.488509,22020096
cpu,27458.488510,27458.489467,22020096
cpu,27458.489467,27458.490425,22020096
cpu,27458.490425,27458.491380,22020096
cpu,27458.491381,27458.492366,22020096
cpu,27458.492366,27458.493334,22020096
cpu,27458.493334,27458.494285,22020096
cpu,27458.494286,27458.495247,22020096
cpu,27458.495247,27458.496220,22020096
cpu,27458.496220,27458.497173,22020096
cpu,27458.497173,27458.498124,22020096
cpu,27458.498124,27458.499081,22020096
cpu,27458.499081,27458.500070,22020096
cpu,27458.500071,27458.501028,22020096
cpu,27458.501029,27458.501981,22020096
cpu,27458.501981,27458.502948,22020096
cpu,27458.502948,27458.503907,22020096
cpu,27458.503907,27458.504878,22020096
cpu,27458.504878,27458.505832,22020096
cpu,27458.505832,27458.506794,22020096
cpu,27458.506794,27458.507752,22020096
cpu,27458.507752,27458.508733,22020096
cpu,27458.508733,27458.509695,22020096
cpu,27458.509696,27458.510648,22020096
cpu,27458.510648,27458.511610,22020096
cpu,27458.511610,27458.512590,22020096
cpu,27458.512591,27458.513590,22020096
cpu,27458.513591,27458.514578,22020096
cpu,27458.514578,27458.515550,22020096
cpu,27458.515550,27458.516559,22020096
cpu,27458.516559,27458.517543,22020096
cpu,27458.517544,27458.518500,22020096
cpu,27458.518500,27458.519451,22020096
cpu,27458.519451,27458.520428,22020096
cpu,27458.520429,27458.521399,22020096
cpu,27458.521399,27458.522356,22020096
cpu,27458.522356,27458.523324,22020096
cpu,27458.523324,27458.524290,22020096
cpu,27458.524290,27458.525244,22020096
cpu,27458.525244,27458.526201,22020096
cpu,27458.526202,27458.527164,22020096
cpu,27458.527164,27458.528155,22020096
cpu,27458.528155,27458.529115,22020096
cpu,27458.529115,27458.530072,22020096
cpu,27458.530072,27458.531027,22020096
cpu,27458.531027,27458.531982,22020096
cpu,27458.531982,27458.532958,22020096
cpu,27458.532958,27458.533919,22020096
cpu,27458.533919,27458.534875,22020096
cpu,27458.534875,27458.535830,22020096
cpu,27458.535830,27458.536811,22020096
cpu,27458.536811,27458.537774,22020096
cpu,27458.537774,27458.538736,22020096
cpu,27458.538736,27458.539691,22020096
cpu,27458.539691,27458.540670,22020096
cpu,27458.540670,27458.541647,22020096
cpu,27458.541647,27458.542605,22020096
cpu,27458.542605,27458.543577,22020096
cpu,27458.543577,27458.544547,22020096
cpu,27458.544547,27458.545499,22020096
cpu,27458.545499,27458.546459,22020096
cpu,27458.546459,27458.547412,22020096
cpu,27458.547412,27458.548382,22020096
cpu,27458.548382,27458.549339,22020096
cpu,27458.549339,27458.550298,22020096
cpu,27458.550299,27458.551248,22020096
cpu,27458.551248,27458.552219,22020096
cpu,27458.552219,27458.553173,22020096
cpu,27458.553173,27458.554129,22020096
cpu,27458.554129,27458.555081,22020096
cpu,27458.555081,27458.556053,22020096
cpu,27458.556053,27458.557016,22020096
cpu,27458.557016,27458.557969,22020096
cpu,27458.557969,27458.558923,22020096
cpu,27458.558923,27458.559893,22020096
cpu,27458.559893,27458.560874,22020096
cpu,27458.560874,27458.561873,22020096
cpu,27458.561873,27458.562904,22020096
cpu,27458.562904,27458.563882,22020096
cpu,27458.563882,27458.564850,22020096
cpu,27458.564850,27458.565803,22020096
cpu,27458.565803,27458.566755,22020096
cpu,27458.566755,27458.567714,22020096
cpu,27458.567714,27458.568682,22020096
cpu,27458.568682,27458.569637,22020096
cpu,27458.569637,27458.570595,22020096
cpu,27458.570595,27458.571544,22020096
cpu,27458.571544,27458.572519,22020096
cpu,27458.572519,27458.573490,22020096
cpu,27458.573490,27458.574455,22020096
cpu,27458.574455,27458.575407,22020096
cpu,27458.575407,27458.576382,22020096
cpu,27458.576382,27458.577338,22020096
cpu,27458.577338,27458.578291,22020096
cpu,27458.578291,27458.579247,22020096
cpu,27458.579248,27458.580215,22020096
cpu,27458.580215,27458.581172,22020096
cpu,27458.581172,27458.582140,22020096
cpu,27458.582140,27458.583097,22020096
cpu,27458.583097,27458.584086,22020096
cpu,27458.584086,27458.585049,22020096
cpu,27458.585049,27458.586011,22020096
cpu,27458.586011,27458.586977,22020096
cpu,27458.586977,27458.587942,22020096
cpu,27458.587942,27458.588926,22020096
cpu,27458.588926,27458.589887,22020096
cpu,27458.589887,27458.590846,22020096
cpu,27458.590847,27458.591809,22020096
cpu,27458.591809,27458.592793,22020096
cpu,27458.592793,27458.593777,22020096
cpu,27458.593777,27458.594756,22020096
cpu,27458.594756,27458.595732,22020096
cpu,27458.595732,27458.596735,22020096
cpu,27458.596735,27458.597713,22020096
cpu,27458.597714,27458.598703,22020096
cpu,27458.598703,27458.599687,22020096
cpu,27458.599687,27458.600682,22020096
cpu,27458.600682,27458.601664,22020096
cpu,27458.601664,27458.602623,22020096
cpu,27458.602623,27458.603609,22020096
cpu,27458.603610,27458.604598,22020096
cpu,27458.604599,27458.605555,22020096
cpu,27458.605555,27458.606559,22020096
cpu,27458.606559,27458.607544,22020096
cpu,27458.607544,27458.608542,22020096
cpu,27458.608543,27458.609518,22020096
cpu,27458.609519,27458.610539,22020096
cpu,27458.610539,27458.611503,22020096
cpu,27458.611503,27458.612479,22020096
cpu,27458.612480,27458.613459,22020096
cpu,27458.613459,27458.614421,22020096
cpu,27458.614422,27458.615391,22020096
cpu,27458.615391,27458.616375,22020096
cpu,27458.616376,27458.617337,22020096
cpu,27458.617337,27458.618316,22020096
cpu,27458.618316,27458.619270,22020096
cpu,27458.619270,27458.620246,22020096
cpu,27458.620246,27458.621204,22020096
cpu,27458.621204,27458.622163,22020096
cpu,27458.622164,27458.623115,22020096
cpu,27458.623115,27458.624102,22020096
cpu,27458.624102,27458.625057,22020096
cpu,27458.625057,27458.626015,22020096
cpu,27458.626015,27458.626974,22020096
cpu,27458.626974,27458.627927,22020096
cpu,27458.627927,27458.628897,22020096
cpu,27458.628897,27458.629847,22020096
cpu,27458.629847,27458.630807,22020096
cpu,27458.630807,27458.631771,22020096
cpu,27458.631771,27458.632743,22020096
cpu,27458.632743,27458.633700,22020096
cpu,27458.633700,27458.634653,22020096
cpu,27458.634653,27458.635613,22020096
cpu,27458.635613,27458.636588,22020096
cpu,27458.636588,27458.637550,22020096
cpu,27458.637550,27458.638507,22020096
cpu,27458.638507,27458.639463,22020096
cpu,27458.639463,27458.640433,22020096
cpu,27458.640433,27458.641388,22020096
cpu,27458.641388,27458.642348,22020096
cpu,27458.642348,27458.643299,22020096
cpu,27458.643299,27458.644287,22020096
cpu,27458.644287,27458.645242,22020096
cpu,27458.645243,27458.646199,22020096
cpu,27458.646200,27458.647151,22020096
cpu,27458.647151,27458.648115,22020096
cpu,27458.648121,27458.649083,22020096
cpu,27458.649083,27458.650040,22020096
cpu,27458.650040,27458.650999,22020096
cpu,27458.650999,27458.651963,22020096
cpu,27458.651964,27458.652977,22020096
cpu,27458.652978,27458.653976,22020096
cpu,27458.653977,27458.654947,22020096
cpu,27458.654947,27458.655931,22020096
cpu,27458.655931,27458.656927,22020096
cpu,27458.656928,27458.657885,22020096
cpu,27458.657886,27458.658849,22020096
cpu,27458.658849,27458.659803,22020096
cpu,27458.659803,27458.660783,22020096
cpu,27458.660784,27458.661738,22020096
cpu,27458.661739,27458.662699,22020096
cpu,27458.662699,27458.663651,22020096
cpu,27458.663651,27458.664644,22020096
cpu,27458.664644,27458.665597,22020096
cpu,27458.665598,27458.666549,22020096
cpu,27458.666549,27458.667509,22020096
cpu,27458.667509,27458.668488,22020096
cpu,27458.668488,27458.669442,22020096
cpu,27458.669442,27458.670393,22020096
cpu,27458.670393,27458.671350,22020096
cpu,27458.671350,27458.672323,22020096
cpu,27458.672323,27458.673276,22020096
cpu,27458.673276,27458.674241,22020096
cpu,27458.674241,27458.675190,22020096
cpu,27458.675190,27458.676160,22020096
cpu,27458.676160,27458.677108,22020096
cpu,27458.677108,27458.678067,22020096
cpu,27458.678067,27458.679022,22020096
cpu,27458.679022,27458.679976,22020096
cpu,27458.679977,27458.680955,22020096
cpu,27458.680955,27458.681902,22020096
cpu,27458.681902,27458.682858,22020096
cpu,27458.682858,27458.683822,22020096
cpu,27458.683822,27458.684805,22020096
