# compute_trace v1
# model=/data/local/tmp/moe-stream/Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_threads=4 io_threads=4 o_direct=1 overlap=1
turn,phase,step,seq,layer,op,name,wall_ns,majflt
0,1,35,67,33,LAYER,blk.33,600000,0
0,1,35,68,33,LAYER,blk.33,1107239,0
0,1,35,69,34,LAYER,blk.34,549427,0
0,1,35,70,34,LAYER,blk.34,1106615,0
0,1,35,71,35,LAYER,blk.35,602813,0
0,1,35,72,35,LAYER,blk.35,1056250,0
0,1,35,73,36,LAYER,blk.36,489687,0
0,1,35,74,36,LAYER,blk.36,2801771,0
0,1,35,75,37,LAYER,blk.37,532448,0
0,1,35,76,37,LAYER,blk.37,1048646,0
0,1,35,77,38,LAYER,blk.38,533489,0
0,1,35,78,38,LAYER,blk.38,2245886,0
0,1,35,79,39,LAYER,blk.39,576562,0
0,1,35,80,39,LAYER,blk.39,2051563,0
0,1,35,81,40,LAYER,blk.40,520885,0
0,1,35,82,40,LAYER,blk.40,4453438,0
0,1,35,83,41,LAYER,blk.41,381354,0
0,1,35,84,41,LAYER,blk.41,905260,0
0,1,35,85,42,LAYER,blk.42,394271,0
0,1,35,86,42,LAYER,blk.42,901354,0
0,1,35,87,43,LAYER,blk.43,386563,0
0,1,35,88,43,LAYER,blk.43,1024948,0
0,1,35,89,44,LAYER,blk.44,397604,0
0,1,35,90,44,LAYER,blk.44,2392656,0
0,1,35,91,45,LAYER,blk.45,328594,0
0,1,35,92,45,LAYER,blk.45,837604,0
0,1,35,93,46,LAYER,blk.46,323385,0
0,1,35,94,46,LAYER,blk.46,2826302,0
0,1,35,95,47,LAYER,blk.47,346198,0
0,1,35,96,-1,LAYER,post,9925782,0
0,1,36,0,-1,LAYER,pre,46823,1
0,1,36,1,0,LAYER,blk.0,398646,2
0,1,36,2,0,LAYER,blk.0,8090521,0
0,1,36,3,1,LAYER,blk.1,364375,2
0,1,36,4,1,LAYER,blk.1,6688333,0
0,1,36,5,2,LAYER,blk.2,617344,2
0,1,36,6,2,LAYER,blk.2,6748541,0
0,1,36,7,3,LAYER,blk.3,707761,2
0,1,36,8,3,LAYER,blk.3,4419062,0
0,1,36,9,4,LAYER,blk.4,703646,2
0,1,36,10,4,LAYER,blk.4,7093594,0
0,1,36,11,5,LAYER,blk.5,696198,2
0,1,36,12,5,LAYER,blk.5,7485208,0
0,1,36,13,6,LAYER,blk.6,664948,1
0,1,36,14,6,LAYER,blk.6,5187969,0
0,1,36,15,7,LAYER,blk.7,655625,2
0,1,36,16,7,LAYER,blk.7,7174739,0
0,1,36,17,8,LAYER,blk.8,703177,2
0,1,36,18,8,LAYER,blk.8,6158855,0
0,1,36,19,9,LAYER,blk.9,695781,2
0,1,36,20,9,LAYER,blk.9,4991823,0
0,1,36,21,10,LAYER,blk.10,692968,2
0,1,36,22,10,LAYER,blk.10,2912657,0
0,1,36,23,11,LAYER,blk.11,698021,2
0,1,36,24,11,LAYER,blk.11,2874166,0
0,1,36,25,12,LAYER,blk.12,670834,2
0,1,36,26,12,LAYER,blk.12,4874531,0
0,1,36,27,13,LAYER,blk.13,623125,2
0,1,36,28,13,LAYER,blk.13,4371406,0
0,1,36,29,14,LAYER,blk.14,624687,2
0,1,36,30,14,LAYER,blk.14,3809844,0
0,1,36,31,15,LAYER,blk.15,883646,2
0,1,36,32,15,LAYER,blk.15,2895885,0
0,1,36,33,16,LAYER,blk.16,592761,2
0,1,36,34,16,LAYER,blk.16,5421979,0
0,1,36,35,17,LAYER,blk.17,584427,1
0,1,36,36,17,LAYER,blk.17,4782969,0
0,1,36,37,18,LAYER,blk.18,673281,2
0,1,36,38,18,LAYER,blk.18,5837396,0
0,1,36,39,19,LAYER,blk.19,622656,2
0,1,36,40,19,LAYER,blk.19,5928281,0
0,1,36,41,20,LAYER,blk.20,656667,2
0,1,36,42,20,LAYER,blk.20,6718229,0
0,1,36,43,21,LAYER,blk.21,642969,2
0,1,36,44,21,LAYER,blk.21,5068750,0
0,1,36,45,22,LAYER,blk.22,656927,2
0,1,36,46,22,LAYER,blk.22,5928646,0
0,1,36,47,23,LAYER,blk.23,658958,2
0,1,36,48,23,LAYER,blk.23,3147709,0
0,1,36,49,24,LAYER,blk.24,639270,2
0,1,36,50,24,LAYER,blk.24,1210938,0
0,1,36,51,25,LAYER,blk.25,630156,2
0,1,36,52,25,LAYER,blk.25,4355000,0
0,1,36,53,26,LAYER,blk.26,658646,2
0,1,36,54,26,LAYER,blk.26,3307552,0
0,1,36,55,27,LAYER,blk.27,648177,2
0,1,36,56,27,LAYER,blk.27,1173646,0
0,1,36,57,28,LAYER,blk.28,652552,0
0,1,36,58,28,LAYER,blk.28,3539583,0
0,1,36,59,29,LAYER,blk.29,771875,2
0,1,36,60,29,LAYER,blk.29,2410886,0
0,1,36,61,30,LAYER,blk.30,633021,0
0,1,36,62,30,LAYER,blk.30,3171718,0
0,1,36,63,31,LAYER,blk.31,637761,0
0,1,36,64,31,LAYER,blk.31,2739323,0
0,1,36,65,32,LAYER,blk.32,603958,0
0,1,36,66,32,LAYER,blk.32,7875781,0
0,1,36,67,33,LAYER,blk.33,1835625,0
0,1,36,68,33,LAYER,blk.33,6694271,0
0,1,36,69,34,LAYER,blk.34,777031,0
0,1,36,70,34,LAYER,blk.34,2802761,0
0,1,36,71,35,LAYER,blk.35,448073,0
0,1,36,72,35,LAYER,blk.35,5921875,0
0,1,36,73,36,LAYER,blk.36,439062,0
0,1,36,74,36,LAYER,blk.36,3190886,0
0,1,36,75,37,LAYER,blk.37,430260,0
0,1,36,76,37,LAYER,blk.37,4256250,0
0,1,36,77,38,LAYER,blk.38,424167,0
0,1,36,78,38,LAYER,blk.38,2862552,0
0,1,36,79,39,LAYER,blk.39,423073,0
0,1,36,80,39,LAYER,blk.39,3950000,0
0,1,36,81,40,LAYER,blk.40,462708,0
0,1,36,82,40,LAYER,blk.40,3145156,0
0,1,36,83,41,LAYER,blk.41,464896,0
0,1,36,84,41,LAYER,blk.41,984115,0
0,1,36,85,42,LAYER,blk.42,501875,0
0,1,36,86,42,LAYER,blk.42,4595833,0
0,1,36,87,43,LAYER,blk.43,555833,0
0,1,36,88,43,LAYER,blk.43,1033386,0
0,1,36,89,44,LAYER,blk.44,476771,0
0,1,36,90,44,LAYER,blk.44,856093,0
0,1,36,91,45,LAYER,blk.45,427969,0
0,1,36,92,45,LAYER,blk.45,804531,0
0,1,36,93,46,LAYER,blk.46,410521,0
0,1,36,94,46,LAYER,blk.46,2433073,0
0,1,36,95,47,LAYER,blk.47,421406,0
0,1,36,96,-1,LAYER,post,15778178,0
0,1,37,0,-1,LAYER,pre,64167,1
0,1,37,1,0,LAYER,blk.0,373229,0
0,1,37,2,0,LAYER,blk.0,8869115,0
0,1,37,3,1,LAYER,blk.1,354271,0
0,1,37,4,1,LAYER,blk.1,6364010,0
0,1,37,5,2,LAYER,blk.2,478177,0
0,1,37,6,2,LAYER,blk.2,3111302,0
0,1,37,7,3,LAYER,blk.3,496354,0
0,1,37,8,3,LAYER,blk.3,2536563,0
0,1,37,9,4,LAYER,blk.4,512812,0
0,1,37,10,4,LAYER,blk.4,932709,0
0,1,37,11,5,LAYER,blk.5,518854,0
0,1,37,12,5,LAYER,blk.5,2075937,0
0,1,37,13,6,LAYER,blk.6,555365,0
0,1,37,14,6,LAYER,blk.6,3707083,0
0,1,37,15,7,LAYER,blk.7,531719,0
0,1,37,16,7,LAYER,blk.7,4378490,0
0,1,37,17,8,LAYER,blk.8,553906,0
0,1,37,18,8,LAYER,blk.8,2153437,0
0,1,37,19,9,LAYER,blk.9,512136,0
0,1,37,20,9,LAYER,blk.9,3287292,0
0,1,37,21,10,LAYER,blk.10,435260,0
0,1,37,22,10,LAYER,blk.10,1947344,0
0,1,37,23,11,LAYER,blk.11,563437,0
0,1,37,24,11,LAYER,blk.11,4589375,0
0,1,37,25,12,LAYER,blk.12,483281,0
0,1,37,26,12,LAYER,blk.12,2326563,0
0,1,37,27,13,LAYER,blk.13,444271,0
0,1,37,28,13,LAYER,blk.13,5552864,0
0,1,37,29,14,LAYER,blk.14,429948,0
0,1,37,30,14,LAYER,blk.14,3726302,0
0,1,37,31,15,LAYER,blk.15,446094,0
0,1,37,32,15,LAYER,blk.15,3127604,0
0,1,37,33,16,LAYER,blk.16,544271,0
0,1,37,34,16,LAYER,blk.16,2687813,0
0,1,37,35,17,LAYER,blk.17,505000,0
0,1,37,36,17,LAYER,blk.17,2892916,0
0,1,37,37,18,LAYER,blk.18,509011,0
0,1,37,38,18,LAYER,blk.18,3249218,0
0,1,37,39,19,LAYER,blk.19,914167,0
0,1,37,40,19,LAYER,blk.19,2928542,0
0,1,37,41,20,LAYER,blk.20,463177,0
0,1,37,42,20,LAYER,blk.20,7607760,0
0,1,37,43,21,LAYER,blk.21,516979,0
0,1,37,44,21,LAYER,blk.21,4033334,0
0,1,37,45,22,LAYER,blk.22,863541,0
0,1,37,46,22,LAYER,blk.22,3172761,0
0,1,37,47,23,LAYER,blk.23,550208,0
0,1,37,48,23,LAYER,blk.23,18516146,0
0,1,37,49,24,LAYER,blk.24,431458,0
0,1,37,50,24,LAYER,blk.24,7035365,0
0,1,37,51,25,LAYER,blk.25,469114,0
0,1,37,52,25,LAYER,blk.25,3856615,0
0,1,37,53,26,LAYER,blk.26,762344,0
0,1,37,54,26,LAYER,blk.26,6735312,0
0,1,37,55,27,LAYER,blk.27,708021,0
0,1,37,56,27,LAYER,blk.27,1348646,0
0,1,37,57,28,LAYER,blk.28,750885,0
0,1,37,58,28,LAYER,blk.28,1729896,0
0,1,37,59,29,LAYER,blk.29,868125,0
0,1,37,60,29,LAYER,blk.29,1633854,0
0,1,37,61,30,LAYER,blk.30,353698,0
0,1,37,62,30,LAYER,blk.30,4265469,0
0,1,37,63,31,LAYER,blk.31,2435260,0
0,1,37,64,31,LAYER,blk.31,2583021,0
0,1,37,65,32,LAYER,blk.32,6540209,0
0,1,37,66,32,LAYER,blk.32,782500,0
0,1,37,67,33,LAYER,blk.33,364895,0
0,1,37,68,33,LAYER,blk.33,4067709,0
0,1,37,69,34,LAYER,blk.34,5321666,0
0,1,37,70,34,LAYER,blk.34,780678,0
0,1,37,71,35,LAYER,blk.35,356770,0
0,1,37,72,35,LAYER,blk.35,1733438,0
