t,pswpin,pswpout,pgmajfault,memavail_kb,swapfree_kb,bmoe_pid,bmoe_minflt,bmoe_majflt,bmoe_cpu_ticks,thermal_status,cap0,cap6
1789632923,193363577,289763496,201478126,5232096,9558568,,,,,1,1747200,1651200
1789632928,193364129,289763496,201478682,5365920,9561180,,,,,1,1747200,1651200
1789632934,193364817,289763496,201479399,5254720,9563592,,,,,1,1747200,1651200
1789632939,193365208,289763496,201479791,5262884,9565392,,,,,1,1747200,1651200
1789632944,193365820,289763496,201480413,5306388,9568208,,,,,1,1747200,1651200
1789632949,193374236,289763496,201489278,5161724,9604324,,,,,1,1747200,1651200
1789632954,193412682,289763496,201530845,4362184,9850044,,,,,1,1900800,1651200
1789632959,193453359,289771425,201572826,4576648,9998724,,,,,1,1900800,1651200
1789632964,193458215,289778309,201578277,4779168,9990348,,,,,1,1900800,1651200
1789632969,193463872,289789532,201583992,4668804,9967140,,,,,1,1900800,1651200
1789632974,193466174,289801007,201586299,4732584,9929780,,,,,1,1900800,1651200
1789632979,193471884,289808462,201592058,4747284,9922872,,,,,1,1900800,1651200
1789632984,193474109,289817798,201594319,4791264,9894216,,,,,1,1900800,1651200
1789632990,193527790,289832254,201650150,4367692,10138156,,,,,1,2188800,1651200
1789632995,193530940,289832254,201653534,4631452,10170040,,,,,1,1900800,1651200
1789633000,193531214,289832254,201653823,4641400,10177220,,,,,1,1900800,1651200
1789633005,193531605,289832254,201654258,4630464,10178836,,,,,1,1900800,1651200
1789633010,193531647,289832254,201654301,4638516,10179100,,,,,1,1900800,1651200
1789633015,193531993,289832254,201654670,4680952,10180224,,,,,1,1900800,1651200
1789633020,193535355,289832254,201658076,4667440,10210856,,,,,1,1900800,1651200
1789633025,193535408,289832254,201658130,4671580,10211120,,,,,1,1900800,1651200
1789633031,193535471,289832254,201658193,4675204,10211632,,,,,1,1900800,1651200
1789633036,193535524,289832254,201658254,4673356,10211888,,,,,1,1900800,1651200
1789633041,193535610,289832254,201658345,4677084,10212144,,,,,1,1900800,1651200
1789633046,193535622,289832254,201658357,4674572,10212144,,,,,1,1900800,1651200
1789633051,193535655,289832254,201658428,4674964,10212144,,,,,1,1900800,1651200
1789633056,193536029,289836482,201659360,4587528,10226524,,,,,1,1900800,1651200
1789633062,193536091,289857671,201659430,4716656,10140080,,,,,1,1900800,1651200
1789633067,193536148,289857671,201659489,4723064,10140080,,,,,1,1900800,1651200
1789633072,193536228,289864698,201659586,4744480,10110640,,,,,1,1900800,1651200
